attraction_id,state_id,attraction_name,category,description,location,operating_hours,entrance_fee,budget_level,nearby_transport,rating
1,1,Legoland Malaysia,Tourism,Popular attraction,Johor,9:00,20,Medium,Car/Grab,4.5
2,1,Johor Premium Outlets,Tourism,Popular attraction,Johor,9:00,20,Medium,Car/Grab,4.5
3,1,Desaru Beach,Tourism,Popular attraction,Johor,9:00,20,Medium,Car/Grab,4.5
4,1,Sultan Abu Bakar Mosque,Tourism,Popular attraction,Johor,9:00,20,Medium,Car/Grab,4.5
5,1,Gunung Ledang,Tourism,Popular attraction,Johor,9:00,20,Medium,Car/Grab,4.5
6,2,Langkawi Sky Bridge,Tourism,Popular attraction,Kedah,9:00,20,Medium,Car/Grab,4.5
7,2,Pantai Cenang,Tourism,Popular attraction,Kedah,9:00,20,Medium,Car/Grab,4.5
8,2,Eagle Square,Tourism,Popular attraction,Kedah,9:00,20,Medium,Car/Grab,4.5
9,2,Kilim Geoforest Park,Tourism,Popular attraction,Kedah,9:00,20,Medium,Car/Grab,4.5
10,2,Alor Setar Tower,Tourism,Popular attraction,Kedah,9:00,20,Medium,Car/Grab,4.5
11,3,Siti Khadijah Market,Tourism,Popular attraction,Kelantan,9:00,20,Medium,Car/Grab,4.5
12,3,Pantai Cahaya Bulan,Tourism,Popular attraction,Kelantan,9:00,20,Medium,Car/Grab,4.5
13,3,Istana Jahar,Tourism,Popular attraction,Kelantan,9:00,20,Medium,Car/Grab,4.5
14,3,Wat Photivihan,Tourism,Popular attraction,Kelantan,9:00,20,Medium,Car/Grab,4.5
15,3,Gunung Stong,Tourism,Popular attraction,Kelantan,9:00,20,Medium,Car/Grab,4.5
16,4,A Famosa,Tourism,Popular attraction,Melaka,9:00,20,Medium,Car/Grab,4.5
17,4,Jonker Street,Tourism,Popular attraction,Melaka,9:00,20,Medium,Car/Grab,4.5
18,4,Stadthuys,Tourism,Popular attraction,Melaka,9:00,20,Medium,Car/Grab,4.5
19,4,Melaka River Cruise,Tourism,Popular attraction,Melaka,9:00,20,Medium,Car/Grab,4.5
20,4,Klebang Beach,Tourism,Popular attraction,Melaka,9:00,20,Medium,Car/Grab,4.5
21,5,Port Dickson Beach,Tourism,Popular attraction,Negeri Sembilan,9:00,20,Medium,Car/Grab,4.5
22,5,Army Museum,Tourism,Popular attraction,Negeri Sembilan,9:00,20,Medium,Car/Grab,4.5
23,5,Cape Rachado,Tourism,Popular attraction,Negeri Sembilan,9:00,20,Medium,Car/Grab,4.5
24,5,PD Ostrich Farm,Tourism,Popular attraction,Negeri Sembilan,9:00,20,Medium,Car/Grab,4.5
25,5,Sri Menanti Palace,Tourism,Popular attraction,Negeri Sembilan,9:00,20,Medium,Car/Grab,4.5
26,6,Cameron Highlands,Tourism,Popular attraction,Pahang,9:00,20,Medium,Car/Grab,4.5
27,6,Genting Highlands,Tourism,Popular attraction,Pahang,9:00,20,Medium,Car/Grab,4.5
28,6,Taman Negara,Tourism,Popular attraction,Pahang,9:00,20,Medium,Car/Grab,4.5
29,6,Sungai Lembing,Tourism,Popular attraction,Pahang,9:00,20,Medium,Car/Grab,4.5
